km,price,km_norm,price_norm
240000,3650,1.0,0.0
139800,3800,0.5384636643774096,0.032327586206896554
150500,4400,0.5877494806564687,0.16163793103448276
185530,4450,0.7491029520822106,0.1724137931034483
176000,5250,0.7052063325364692,0.3448275862068966
114800,5350,0.4233098880244679,0.36637931034482757
166800,5800,0.6628297428385866,0.46336206896551724
89000,5990,0.30447119082823204,0.5043103448275862
144500,5999,0.5601125743317626,0.50625
84000,6200,0.2814404355576437,0.5495689655172413
82029,6390,0.27236171182997776,0.5905172413793104
63060,6390,0.18498763248441968,0.5905172413793104
74000,6600,0.23537892501646698,0.6357758620689655
97500,6800,0.3436234747882322,0.6788793103448276
67000,6800,0.2031358676376433,0.6788793103448276
76025,6900,0.24470638090105526,0.7004310344827587
48235,6900,0.11670144310712526,0.7004310344827587
93000,6990,0.32289579504470267,0.7198275862068966
60949,7490,0.1752640476091773,0.8275862068965517
65674,7555,0.1970281113398833,0.8415948275862069
54000,7990,0.1432559039341136,0.9353448275862069
68500,7990,0.2100450942188198,0.9353448275862069
22899,7990,0.0,0.9353448275862069
61789,8290,0.17913321449463615,1.0
